Date	Close	Open	Hi	Lo
02/05/2007	144.3	145.4	145.7	145
03/05/2007	147.1	146	147.7	146
04/05/2007	146.9	147.6	147.8	146
07/05/2007	146.7	146.6	147.6	146.6
08/05/2007	146	146	147	145.8
09/05/2007	146.7	146.2	146.8	145.9
10/05/2007	146	146	146.5	145.8
11/05/2007	145	144.5	145.4	144.5
14/05/2007	146.9	147.5	147.5	146.7
15/05/2007	146.3	146.9	146.9	146.2
16/05/2007	145	145.6	145.6	144.8
17/05/2007	144.9	145	145.7	144.6
18/05/2007	145	144.2	145	144.2
21/05/2007	145	145.5	145.5	144.8
22/05/2007	144.6	145	145	144.3
23/05/2007	144.8	144.3	145	144
25/05/2007	144.3	144.4	144.4	144.2
28/05/2007	144.3	144.4	144.8	144
29/05/2007	143.9	144.2	144.4	143.9
30/05/2007	143.9	143.9	144.8	143.7
31/05/2007	144.5	144.4	145.1	143.9
01/06/2007	144.2	145	145.3	144.1
04/06/2007	144.2	144.3	144.5	144
05/06/2007	144.2	144.3	144.8	143.9
06/06/2007	144.3	143.7	144.6	143.7
07/06/2007	144	143.6	144.2	143.6
08/06/2007	143.2	143.1	143.5	142.7
11/06/2007	143.4	143.5	143.9	143.2
12/06/2007	143.4	143.6	143.8	143.1
13/06/2007	143	143	143.1	142.8
14/06/2007	143.4	143.9	143.9	143.3
15/06/2007	143.3	143.6	143.6	142.9
18/06/2007	144	144.2	144.2	143.5
20/06/2007	145.8	143.9	146.3	143.5
21/06/2007	145.4	145.8	146.3	145.2
22/06/2007	145.5	144.8	146.7	144.8
25/06/2007	144.2	145	145.4	143.9
26/06/2007	144.1	144.2	144.3	143.9
27/06/2007	143	143.8	144	142.7
28/06/2007	143.5	144	144.2	143.1
29/06/2007	142.5	143.8	143.8	142.3
03/07/2007	143.2	142.5	143.5	142.5
04/07/2007	143	143.5	143.7	142.7
05/07/2007	143.2	143.3	143.5	142.8
06/07/2007	144.5	142.8	145.9	142.7
09/07/2007	145	144.2	145.4	144.2
10/07/2007	145.3	143.9	146.4	143.8
11/07/2007	143.2	144	144.3	143
12/07/2007	143.7	143.8	144.3	143.4
13/07/2007	144.4	144.9	145.3	144.1
16/07/2007	144.9	144.6	145.3	144.2
17/07/2007	145.6	144.9	145.7	144.9
18/07/2007	145.7	145.1	146.5	144.9
19/07/2007	145.8	145.8	146.8	145.1
20/07/2007	145.3	145.9	145.9	145.2
23/07/2007	144.8	144.6	145.1	144.6
24/07/2007	145.3	145.3	145.7	145
25/07/2007	143.8	143.4	144.2	142.7
26/07/2007	143.2	143.5	144.3	143
27/07/2007	141.1	140.9	141.5	139.8
