Date	Close	Open	Hi	Lo
05/02/2007	144.3	145.4	145.7	145
05/03/2007	147.1	146	147.7	146
05/04/2007	146.9	147.6	147.8	146
05/07/2007	146.7	146.6	147.6	146.6
05/08/2007	146	146	147	145.8
05/09/2007	146.7	146.2	146.8	145.9
05/10/2007	146	146	146.5	145.8
05/11/2007	145	144.5	145.4	144.5
05/14/2007	146.9	147.5	147.5	146.7
05/15/2007	146.3	146.9	146.9	146.2
05/16/2007	145	145.6	145.6	144.8
05/17/2007	144.9	145	145.7	144.6
05/18/2007	145	144.2	145	144.2
05/21/2007	145	145.5	145.5	144.8
05/22/2007	144.6	145	145	144.3
05/23/2007	144.8	144.3	145	144
05/25/2007	144.3	144.4	144.4	144.2
05/28/2007	144.3	144.4	144.8	144
05/29/2007	143.9	144.2	144.4	143.9
05/30/2007	143.9	143.9	144.8	143.7
05/31/2007	144.5	144.4	145.1	143.9
06/01/2007	144.2	145	145.3	144.1
06/04/2007	144.2	144.3	144.5	144
06/05/2007	144.2	144.3	144.8	143.9
06/06/2007	144.3	143.7	144.6	143.7
06/07/2007	144	143.6	144.2	143.6
06/08/2007	143.2	143.1	143.5	142.7
06/11/2007	143.4	143.5	143.9	143.2
06/12/2007	143.4	143.6	143.8	143.1
06/13/2007	143	143	143.1	142.8
06/14/2007	143.4	143.9	143.9	143.3
06/15/2007	143.3	143.6	143.6	142.9
06/18/2007	144	144.2	144.2	143.5
06/20/2007	145.8	143.9	146.3	143.5
06/21/2007	145.4	145.8	146.3	145.2
06/22/2007	145.5	144.8	146.7	144.8
06/25/2007	144.2	145	145.4	143.9
06/26/2007	144.1	144.2	144.3	143.9
06/27/2007	143	143.8	144	142.7
06/28/2007	143.5	144	144.2	143.1
06/29/2007	142.5	143.8	143.8	142.3
07/03/2007	143.2	142.5	143.5	142.5
07/04/2007	143	143.5	143.7	142.7
07/05/2007	143.2	143.3	143.5	142.8
07/06/2007	144.5	142.8	145.9	142.7
07/09/2007	145	144.2	145.4	144.2
07/10/2007	145.3	143.9	146.4	143.8
07/11/2007	143.2	144	144.3	143
07/12/2007	143.7	143.8	144.3	143.4
07/13/2007	144.4	144.9	145.3	144.1
07/16/2007	144.9	144.6	145.3	144.2
07/17/2007	145.6	144.9	145.7	144.9
07/18/2007	145.7	145.1	146.5	144.9
07/19/2007	145.8	145.8	146.8	145.1
07/20/2007	145.3	145.9	145.9	145.2
07/23/2007	144.8	144.6	145.1	144.6
07/24/2007	145.3	145.3	145.7	145
07/25/2007	143.8	143.4	144.2	142.7
07/26/2007	143.2	143.5	144.3	143
07/27/2007	141.1	140.9	141.5	139.8
