Date	Close	Open	Hi	Lo
2007-05-02	144.3	145.4	145.7	145
2007-05-03	147.1	146	147.7	146
2007-05-04	146.9	147.6	147.8	146
2007-05-07	146.7	146.6	147.6	146.6
2007-05-08	146	146	147	145.8
2007-05-09	146.7	146.2	146.8	145.9
2007-05-10	146	146	146.5	145.8
2007-05-11	145	144.5	145.4	144.5
2007-05-14	146.9	147.5	147.5	146.7
2007-05-15	146.3	146.9	146.9	146.2
2007-05-16	145	145.6	145.6	144.8
2007-05-17	144.9	145	145.7	144.6
2007-05-18	145	144.2	145	144.2
2007-05-21	145	145.5	145.5	144.8
2007-05-22	144.6	145	145	144.3
2007-05-23	144.8	144.3	145	144
2007-05-25	144.3	144.4	144.4	144.2
2007-05-28	144.3	144.4	144.8	144
2007-05-29	143.9	144.2	144.4	143.9
2007-05-30	143.9	143.9	144.8	143.7
2007-05-31	144.5	144.4	145.1	143.9
2007-06-01	144.2	145	145.3	144.1
2007-06-04	144.2	144.3	144.5	144
2007-06-05	144.2	144.3	144.8	143.9
2007-06-06	144.3	143.7	144.6	143.7
2007-06-07	144	143.6	144.2	143.6
2007-06-08	143.2	143.1	143.5	142.7
2007-06-11	143.4	143.5	143.9	143.2
2007-06-12	143.4	143.6	143.8	143.1
2007-06-13	143	143	143.1	142.8
2007-06-14	143.4	143.9	143.9	143.3
2007-06-15	143.3	143.6	143.6	142.9
2007-06-18	144	144.2	144.2	143.5
2007-06-20	145.8	143.9	146.3	143.5
2007-06-21	145.4	145.8	146.3	145.2
2007-06-22	145.5	144.8	146.7	144.8
2007-06-25	144.2	145	145.4	143.9
2007-06-26	144.1	144.2	144.3	143.9
2007-06-27	143	143.8	144	142.7
2007-06-28	143.5	144	144.2	143.1
2007-06-29	142.5	143.8	143.8	142.3
2007-07-03	143.2	142.5	143.5	142.5
2007-07-04	143	143.5	143.7	142.7
2007-07-05	143.2	143.3	143.5	142.8
2007-07-06	144.5	142.8	145.9	142.7
2007-07-09	145	144.2	145.4	144.2
2007-07-10	145.3	143.9	146.4	143.8
2007-07-11	143.2	144	144.3	143
2007-07-12	143.7	143.8	144.3	143.4
2007-07-13	144.4	144.9	145.3	144.1
2007-07-16	144.9	144.6	145.3	144.2
2007-07-17	145.6	144.9	145.7	144.9
2007-07-18	145.7	145.1	146.5	144.9
2007-07-19	145.8	145.8	146.8	145.1
2007-07-20	145.3	145.9	145.9	145.2
2007-07-23	144.8	144.6	145.1	144.6
2007-07-24	145.3	145.3	145.7	145
2007-07-25	143.8	143.4	144.2	142.7
2007-07-26	143.2	143.5	144.3	143
2007-07-27	141.1	140.9	141.5	139.8
