Date	Close	Open	Hi	Lo
5/2/2007	144.3	145.4	145.7	145
5/3/2007	147.1	146	147.7	146
5/4/2007	146.9	147.6	147.8	146
5/7/2007	146.7	146.6	147.6	146.6
5/8/2007	146	146	147	145.8
5/9/2007	146.7	146.2	146.8	145.9
5/10/2007	146	146	146.5	145.8
5/11/2007	145	144.5	145.4	144.5
5/14/2007	146.9	147.5	147.5	146.7
5/15/2007	146.3	146.9	146.9	146.2
5/16/2007	145	145.6	145.6	144.8
5/17/2007	144.9	145	145.7	144.6
5/18/2007	145	144.2	145	144.2
5/21/2007	145	145.5	145.5	144.8
5/22/2007	144.6	145	145	144.3
5/23/2007	144.8	144.3	145	144
5/25/2007	144.3	144.4	144.4	144.2
5/28/2007	144.3	144.4	144.8	144
5/29/2007	143.9	144.2	144.4	143.9
5/30/2007	143.9	143.9	144.8	143.7
5/31/2007	144.5	144.4	145.1	143.9
6/1/2007	144.2	145	145.3	144.1
6/4/2007	144.2	144.3	144.5	144
6/5/2007	144.2	144.3	144.8	143.9
6/6/2007	144.3	143.7	144.6	143.7
6/7/2007	144	143.6	144.2	143.6
6/8/2007	143.2	143.1	143.5	142.7
6/11/2007	143.4	143.5	143.9	143.2
6/12/2007	143.4	143.6	143.8	143.1
6/13/2007	143	143	143.1	142.8
6/14/2007	143.4	143.9	143.9	143.3
6/15/2007	143.3	143.6	143.6	142.9
6/18/2007	144	144.2	144.2	143.5
6/20/2007	145.8	143.9	146.3	143.5
6/21/2007	145.4	145.8	146.3	145.2
6/22/2007	145.5	144.8	146.7	144.8
6/25/2007	144.2	145	145.4	143.9
6/26/2007	144.1	144.2	144.3	143.9
6/27/2007	143	143.8	144	142.7
6/28/2007	143.5	144	144.2	143.1
6/29/2007	142.5	143.8	143.8	142.3
7/3/2007	143.2	142.5	143.5	142.5
7/4/2007	143	143.5	143.7	142.7
7/5/2007	143.2	143.3	143.5	142.8
7/6/2007	144.5	142.8	145.9	142.7
7/9/2007	145	144.2	145.4	144.2
7/10/2007	145.3	143.9	146.4	143.8
7/11/2007	143.2	144	144.3	143
7/12/2007	143.7	143.8	144.3	143.4
7/13/2007	144.4	144.9	145.3	144.1
7/16/2007	144.9	144.6	145.3	144.2
7/17/2007	145.6	144.9	145.7	144.9
7/18/2007	145.7	145.1	146.5	144.9
7/19/2007	145.8	145.8	146.8	145.1
7/20/2007	145.3	145.9	145.9	145.2
7/23/2007	144.8	144.6	145.1	144.6
7/24/2007	145.3	145.3	145.7	145
7/25/2007	143.8	143.4	144.2	142.7
7/26/2007	143.2	143.5	144.3	143
7/27/2007	141.1	140.9	141.5	139.8
