Date	Close	Open	Hi	Lo
05/02/07	144.3	145.4	145.7	145
05/03/07	147.1	146	147.7	146
05/04/07	146.9	147.6	147.8	146
05/07/07	146.7	146.6	147.6	146.6
05/08/07	146	146	147	145.8
05/09/07	146.7	146.2	146.8	145.9
05/10/07	146	146	146.5	145.8
05/11/07	145	144.5	145.4	144.5
05/14/07	146.9	147.5	147.5	146.7
05/15/07	146.3	146.9	146.9	146.2
05/16/07	145	145.6	145.6	144.8
05/17/07	144.9	145	145.7	144.6
05/18/07	145	144.2	145	144.2
05/21/07	145	145.5	145.5	144.8
05/22/07	144.6	145	145	144.3
05/23/07	144.8	144.3	145	144
05/25/07	144.3	144.4	144.4	144.2
05/28/07	144.3	144.4	144.8	144
05/29/07	143.9	144.2	144.4	143.9
05/30/07	143.9	143.9	144.8	143.7
05/31/07	144.5	144.4	145.1	143.9
06/01/07	144.2	145	145.3	144.1
06/04/07	144.2	144.3	144.5	144
06/05/07	144.2	144.3	144.8	143.9
06/06/07	144.3	143.7	144.6	143.7
06/07/07	144	143.6	144.2	143.6
06/08/07	143.2	143.1	143.5	142.7
06/11/07	143.4	143.5	143.9	143.2
06/12/07	143.4	143.6	143.8	143.1
06/13/07	143	143	143.1	142.8
06/14/07	143.4	143.9	143.9	143.3
06/15/07	143.3	143.6	143.6	142.9
06/18/07	144	144.2	144.2	143.5
06/20/07	145.8	143.9	146.3	143.5
06/21/07	145.4	145.8	146.3	145.2
06/22/07	145.5	144.8	146.7	144.8
06/25/07	144.2	145	145.4	143.9
06/26/07	144.1	144.2	144.3	143.9
06/27/07	143	143.8	144	142.7
06/28/07	143.5	144	144.2	143.1
06/29/07	142.5	143.8	143.8	142.3
07/03/07	143.2	142.5	143.5	142.5
07/04/07	143	143.5	143.7	142.7
07/05/07	143.2	143.3	143.5	142.8
07/06/07	144.5	142.8	145.9	142.7
07/09/07	145	144.2	145.4	144.2
07/10/07	145.3	143.9	146.4	143.8
07/11/07	143.2	144	144.3	143
07/12/07	143.7	143.8	144.3	143.4
07/13/07	144.4	144.9	145.3	144.1
07/16/07	144.9	144.6	145.3	144.2
07/17/07	145.6	144.9	145.7	144.9
07/18/07	145.7	145.1	146.5	144.9
07/19/07	145.8	145.8	146.8	145.1
07/20/07	145.3	145.9	145.9	145.2
07/23/07	144.8	144.6	145.1	144.6
07/24/07	145.3	145.3	145.7	145
07/25/07	143.8	143.4	144.2	142.7
07/26/07	143.2	143.5	144.3	143
07/27/07	141.1	140.9	141.5	139.8
