Date	Close	Open	Hi	Lo
39204	144.3	145.4	145.7	145
39205	147.1	146	147.7	146
39206	146.9	147.6	147.8	146
39209	146.7	146.6	147.6	146.6
39210	146	146	147	145.8
39211	146.7	146.2	146.8	145.9
39212	146	146	146.5	145.8
39213	145	144.5	145.4	144.5
39216	146.9	147.5	147.5	146.7
39217	146.3	146.9	146.9	146.2
39218	145	145.6	145.6	144.8
39219	144.9	145	145.7	144.6
39220	145	144.2	145	144.2
39223	145	145.5	145.5	144.8
39224	144.6	145	145	144.3
39225	144.8	144.3	145	144
39227	144.3	144.4	144.4	144.2
39230	144.3	144.4	144.8	144
39231	143.9	144.2	144.4	143.9
39232	143.9	143.9	144.8	143.7
39233	144.5	144.4	145.1	143.9
39234	144.2	145	145.3	144.1
39237	144.2	144.3	144.5	144
39238	144.2	144.3	144.8	143.9
39239	144.3	143.7	144.6	143.7
39240	144	143.6	144.2	143.6
39241	143.2	143.1	143.5	142.7
39244	143.4	143.5	143.9	143.2
39245	143.4	143.6	143.8	143.1
39246	143	143	143.1	142.8
39247	143.4	143.9	143.9	143.3
39248	143.3	143.6	143.6	142.9
39251	144	144.2	144.2	143.5
39253	145.8	143.9	146.3	143.5
39254	145.4	145.8	146.3	145.2
39255	145.5	144.8	146.7	144.8
39258	144.2	145	145.4	143.9
39259	144.1	144.2	144.3	143.9
39260	143	143.8	144	142.7
39261	143.5	144	144.2	143.1
39262	142.5	143.8	143.8	142.3
39266	143.2	142.5	143.5	142.5
39267	143	143.5	143.7	142.7
39268	143.2	143.3	143.5	142.8
39269	144.5	142.8	145.9	142.7
39272	145	144.2	145.4	144.2
39273	145.3	143.9	146.4	143.8
39274	143.2	144	144.3	143
39275	143.7	143.8	144.3	143.4
39276	144.4	144.9	145.3	144.1
39279	144.9	144.6	145.3	144.2
39280	145.6	144.9	145.7	144.9
39281	145.7	145.1	146.5	144.9
39282	145.8	145.8	146.8	145.1
39283	145.3	145.9	145.9	145.2
39286	144.8	144.6	145.1	144.6
39287	145.3	145.3	145.7	145
39288	143.8	143.4	144.2	142.7
39289	143.2	143.5	144.3	143
39290	141.1	140.9	141.5	139.8
