year	age	educ	degree	sex	postlife	happy	life	richwork	news	tvhours	usewww	zodiac	degree3	newsreordered	id	income98	region	vote96	vote00
2002	25	14	1	2	1	2	1	1	1	1	1	7	2	5	1	16	7	1	1
2002	43	16	3	1	1	2	1	2	0	-1	1	8	3	0	2	23	7	2	1
2002	30	13	1	2	0	0	0	0	0	-1	1	2	2	0	3	17	7	1	1
2002	55	2	0	2	0	0	0	0	0	-1	1	3	1	0	4	23	7	 	 
2002	37	7	0	1	0	0	0	0	0	-1	2	6	1	0	5	18	7	2	2
2002	47	12	1	1	1	2	1	2	1	1	2	12	2	5	6	22	7	1	1
2002	57	16	3	2	0	0	0	0	0	-1	2	8	3	0	7	23	7	1	1
2002	71	12	1	2	0	0	0	0	0	-1	2	9	2	0	8	17	7	1	1
2002	46	14	1	1	1	3	2	1	0	-1	1	2	2	0	9	20	7	1	1
2002	19	13	1	2	0	0	0	0	0	-1	1	12	2	0	10	19	7	 	 
2002	52	14	1	1	0	0	0	0	0	-1	2	9	2	0	11	21	7	2	2
2002	48	11	0	1	0	0	0	0	0	-1	1	4	1	0	12	23	7	2	1
2002	49	18	4	1	0	0	0	0	0	-1	1	12	3	0	13	22	7	 	2
2002	71	12	1	2	1	2	1	2	0	-1	2	6	2	0	14	13	7	1	1
2002	30	12	1	2	0	0	0	0	0	-1	1	2	2	0	15	3	7	2	2
2002	35	12	1	2	0	0	0	0	0	-1	1	2	2	0	16	11	7	 	 
2002	51	12	1	2	1	3	2	0	4	4	2	12	2	2	17	1	7	2	2
2002	37	15	1	1	1	1	0	0	3	3	2	12	2	3	18	18	7	1	1
2002	35	13	2	1	8	2	2	1	0	-1	1	7	2	0	19	23	7	1	2
2002	28	15	1	1	0	0	0	0	0	-1	1	2	2	0	20	15	7	1	1
2002	34	13	1	2	0	0	0	0	0	-1	1	7	2	0	21	15	7	2	2
2002	23	12	1	1	1	2	2	2	2	6	2	5	2	4	22	17	7	 	2
2002	33	16	3	1	1	3	0	0	1	1	1	6	3	5	23	22	7	 	1
